Apogee,bodylen_coeff,BurnoutMass,CfgID,GUID,landing_velocity,LaunchRodClearanceMass,LaunchRodClearanceStability,max_acceleration,max_velocity,MaxMach,MaxStability,noselen_coeff,payload_mass,rail_exit_velocity
1392.09114981,0.0784821805476,6.14459527638,cfg555,291c05e0-6084-4834-9a65-c93d095e53b0,5.04883156822,6.67070976044,3.80860827238,124.671432374,176.600859067,0.524358388133,6.15340994793,0.513697453661,3.88907796627,15.33193475
1582.26818405,0.00845939657822,5.60408789059,cfg555,a5afb49a-f47c-4ea1-9506-798afd5940a4,4.75209483421,6.13388402579,3.37352562832,136.436898788,193.623263514,0.57400465076,5.58027813154,0.510657720852,3.37574514589,15.58118444
1592.31380261,0.0278871855064,5.60773711644,cfg555,062d2e74-ff5b-42dd-9207-a2ead092674b,4.8355205321,6.13752185642,3.51531244314,136.350624289,193.686903235,0.574204605958,5.68248142066,0.51220160121,3.36974337277,15.573754359
1482.24546656,0.0968388351129,5.88914640771,cfg555,47712395-c0cf-4c69-8a30-9df5e650fd6d,5.13225335595,6.41835669538,3.77053592285,129.986636972,184.330443671,0.546207413524,6.10971551459,0.518146656943,3.62712858008,15.0302252153
1414.98624665,0.093170678497,6.10215647916,cfg555,bcfa1583-ee3c-4d04-8621-898e7d1fcd81,5.05893933746,6.62835237964,3.92226924592,125.52633223,177.973876104,0.527852896863,6.19525111457,0.505551546089,3.84186333183,15.4115501182
1391.22887422,0.091521358432,6.18772585111,cfg555,a8d39220-7067-44e1-b0e3-49ab7483f61b,5.1847841105,6.71375103226,3.95016343991,123.813770953,175.549529144,0.520407830142,6.22132863377,0.505946836969,3.93085851789,15.2514903209
1707.4344401,0.0289792984499,5.29539706674,cfg555,302d7843-cb52-4891-8ac3-7fb8a7bec366,4.67466010958,5.82589956433,3.26038073837,144.128614105,204.905054518,0.607206476829,5.51572691331,0.515773932142,3.05979007476,16.2112462128
1520.83674244,0.00612492519931,5.80390253861,cfg555,c030e5fd-2c06-48e3-bede-ae29c05c2380,4.94186970343,6.33328935387,3.54119853843,131.85504255,187.130754411,0.554868234708,5.68133963962,0.501654252324,3.57668184341,15.190035052
1402.587914,0.0628453501822,6.17730751422,cfg555,27ffc059-43fd-4865-babf-9df8013da75d,5.05319607885,6.70335444055,3.86252704949,124.019933894,175.990446152,0.520594999444,6.09807377037,0.512815213713,3.92721684931,15.270830199
1660.09926129,0.0698284630786,5.43932747589,cfg555,4ed8c2a4-6789-4621-8954-33ef491bc4ec,4.77976500575,5.9694603064,3.58863460321,140.444071912,199.677517555,0.590744853818,5.75793476189,0.509885160698,3.1869348212,15.9209251282
1541.42650057,0.0287329730945,5.74130918601,cfg555,629b3b81-4286-4911-a8eb-a61a574e6d16,4.90871445308,6.27082499517,3.5152305642,133.259124162,189.12200923,0.560106305848,5.74284531671,0.517694336552,3.50282727915,15.3099782238
1617.081859,0.0490458743672,5.51298768005,cfg555,653a3827-d258-48b9-8c89-605f72eaa20a,4.7507109103,6.04296420007,3.46231256689,138.625844503,196.8559192,0.582526792061,5.7153399594,0.514381939444,3.26760583584,15.7676486543
1374.90198226,0.0305628544412,6.22121298346,cfg555,427bc746-8857-4b48-96f3-b492b2a45549,5.09905497862,6.74717249618,3.88036655046,123.155298244,174.435288179,0.517551756801,5.9742220356,0.503199950283,3.98261741264,15.1896822327
1489.93973222,0.0434789390192,5.89832093908,cfg555,822ad9e0-76b2-496b-ac6a-1360df189e7d,4.98736595397,6.4275160244,3.73077955799,129.788379603,184.185418624,0.546056959978,5.88519591624,0.509836471632,3.65503516807,15.0132617536
1434.42583477,0.072252107621,6.05084007368,cfg555,520a026f-9915-4746-a29c-340a784b4bcf,5.07106511392,6.57711289904,3.74802050805,126.575564785,179.530291561,0.53210722831,6.06782087413,0.50562766764,3.80059824721,15.5032329697
